gene_id_(GENCODE vM10)	gene_short_name	locus	DRG_normal_input1_TPM	DRG_normal_input2_TPM	DRG_normal_input3_TPM	DRG_normal_input4_TPM	DRG_normal_TRAP1 _TPM	DRG_normal_TRAP2_TPM	DRG_normal_TRAP3_TPM	DRG_normal_TRAP4_TPM	DRG_CIPN_input5_TPM	DRG_CIPN_input6_TPM	DRG_CIPN_input7_subsample1_TPM	DRG_CIPN_input7_subsample2_TPM	MERGED_DRG_CIPN_input7_TPM	DRG_CIPN_input8_TPM	DRG_CIPN_TRAP5_TPM	DRG_CIPN_TRAP6_TPM	DRG_CIPN_TRAP7_subsample1_TPM	DRG_CIPN_TRAP7_subsample2_TPM	MERGED_DRG_CIPN_TRAP7_TPM	DRG_CIPN_TRAP8_TPM
ENSMUSG00000020234.10	4930404N11Rik	chr10:81357490-81378516	0.00	0.24	0.76	1.41	0.00	0.00	2.58	0.00	0.82	0.24	0.00	0.16	0.10	0.00	0.00	0.00	16.41	1.49	5.34	0.00
ENSMUSG00000020235.16	Fzr1	chr10:81357490-81378516	40.42	36.17	45.59	49.70	86.30	31.95	100.17	34.49	32.69	39.85	39.60	27.97	32.25	30.29	35.90	81.65	80.44	41.16	51.29	38.01
ENSMUSG00000020238.14	Ncln	chr10:81486248-81496392	41.74	39.22	51.39	66.81	46.59	17.67	43.19	38.01	66.91	62.89	72.13	89.39	83.04	104.19	60.80	39.01	0.37	123.66	91.89	141.45
ENSMUSG00000020241.13	Col6a2	chr10:76595761-76623630	6.26	2.90	12.29	9.61	0.30	9.39	7.03	5.69	16.35	15.60	16.53	20.79	19.22	15.91	0.00	0.00	0.00	16.02	11.89	8.60
ENSMUSG00000020246.13	Hcfc2	chr10:82696159-82742428	40.21	29.58	29.91	21.57	3.69	8.69	17.98	18.92	34.12	33.55	26.13	22.66	23.94	23.56	11.20	58.39	27.47	11.70	15.77	16.83
ENSMUSG00000020248.18	Nfyb	chr10:82748700-82764144	62.96	83.63	69.28	52.74	56.07	36.16	59.77	26.12	58.64	63.29	38.80	50.32	46.08	40.39	95.33	88.13	77.25	43.57	52.25	42.27
ENSMUSG00000020250.9	Txnrd1	chr10:82859205-82897724	73.74	81.04	91.59	119.55	161.33	143.89	161.80	431.49	90.92	86.82	95.46	97.36	96.66	98.68	58.57	93.11	156.65	94.94	110.85	139.47
ENSMUSG00000020251.13	Glt8d2	chr10:82629827-82690650	13.43	3.61	4.83	9.61	0.00	5.41	0.00	5.36	7.36	9.05	7.87	11.25	10.01	11.93	5.24	0.00	0.00	0.25	0.18	3.21
ENSMUSG00000020253.14	Ppm1m	chr9:106194171-106199746	6.61	5.10	8.50	6.09	3.24	0.15	8.99	9.71	6.13	5.17	8.53	7.97	8.18	8.57	3.60	0.28	0.09	5.81	4.34	10.68
ENSMUSG00000020255.8	D10Wsu102e	chr10:83360220-83534140	257.69	133.21	174.47	330.99	205.08	227.84	130.65	519.73	233.03	221.89	254.24	189.26	213.15	190.79	134.44	93.17	303.93	155.20	193.53	157.24
ENSMUSG00000020256.14	Aldh1l2	chr10:83360220-83534140	10.71	4.16	4.08	9.61	7.68	19.35	4.29	10.55	4.80	6.31	10.93	6.56	8.17	4.59	0.00	0.00	0.00	14.19	10.53	4.35
ENSMUSG00000020257.12	Wdr82	chr9:106170927-106191136	15.86	16.63	24.87	7.50	14.37	4.06	18.39	9.54	20.33	20.61	24.53	39.70	34.12	24.79	32.56	24.12	43.31	4.90	14.80	15.13
ENSMUSG00000020258.15	Glyctk	chr9:106148686-106160201	2.37	0.78	0.83	1.17	1.85	0.63	0.00	2.18	1.12	2.18	2.00	1.41	1.62	2.29	0.00	0.00	0.00	0.00	0.00	0.47
ENSMUSG00000020260.8	Pofut2	chr10:77259299-77269586	3.55	3.37	11.60	3.05	11.07	0.22	5.32	0.00	7.56	7.60	18.40	8.75	12.30	10.71	4.26	31.12	0.19	10.04	7.50	8.51
ENSMUSG00000020261.15	Slc36a1	chr11:55204349-55236330	301.66	512.51	417.94	328.41	571.54	492.88	676.96	235.59	378.09	424.78	352.50	384.61	372.80	369.79	678.77	818.99	523.59	481.11	492.06	542.27
ENSMUSG00000020262.15	Adarb1	chr10:77290725-77418270	23.86	21.34	36.12	31.65	26.19	7.49	25.73	25.45	40.56	39.69	37.86	39.54	38.92	34.88	29.02	19.20	4.41	76.19	57.69	30.26
ENSMUSG00000020263.14	Appl2	chr10:83600032-83648738	8.00	19.69	14.44	15.24	25.94	22.11	8.78	4.19	26.36	26.43	34.93	32.98	33.69	24.94	12.38	0.03	41.16	13.45	20.59	14.75
ENSMUSG00000020264.5	Slc36a2	chr11:55158469-55185077	49.60	24.95	31.01	44.54	1.60	6.60	9.56	1.84	48.83	32.09	53.06	60.48	57.75	52.17	8.65	0.06	0.19	16.52	12.31	19.01
ENSMUSG00000020265.15	Sumo3	chr10:77606096-77645993	118.69	200.60	186.49	159.40	163.78	221.69	225.45	189.71	161.11	180.26	191.71	231.14	216.64	227.05	509.34	279.58	241.87	422.44	375.90	289.71
ENSMUSG00000020267.6	Hint1	chr11:54866382-54870501	473.70	1721.98	767.72	525.55	468.68	737.16	987.02	487.25	1261.87	1157.05	1070.95	1377.77	1264.96	1329.54	1905.67	1702.96	1769.04	2281.00	2149.05	2289.71
ENSMUSG00000020268.13	Lyrm7	chr11:54826865-54860916	2.16	6.59	4.97	3.52	0.00	5.14	0.62	7.37	6.23	5.17	5.60	7.03	6.51	5.97	12.12	0.06	30.66	6.06	12.40	12.20
ENSMUSG00000020270.9	Smim23	chr11:32818528-32824605	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020271.17	Fbxw11	chr11:32642723-32746816	134.76	121.83	122.67	138.07	97.93	116.98	49.90	100.46	130.97	121.82	135.32	136.75	136.22	131.27	129.33	83.97	86.72	105.15	100.40	79.14
ENSMUSG00000020272.8	Stk10	chr11:32533304-32624587	10.57	4.63	5.11	7.97	0.25	0.48	0.00	0.00	8.48	6.79	9.73	11.25	10.69	11.02	0.52	5.87	0.00	2.57	1.91	5.39
ENSMUSG00000020273.13	Papolg	chr11:23862645-23895488	34.44	19.93	20.58	23.68	10.63	11.97	14.46	29.47	29.52	27.73	24.40	24.07	24.19	25.70	0.59	2.17	27.28	24.57	25.27	26.85
ENSMUSG00000020275.9	Rel	chr11:23736846-23770970	11.69	6.20	6.70	6.33	4.34	6.52	3.93	8.54	10.22	9.22	12.93	6.72	9.00	4.90	0.07	4.28	0.00	0.41	0.31	3.12
ENSMUSG00000020277.9	Pfkl	chr10:77986946-78010083	5.08	11.61	7.87	10.31	19.71	15.02	16.17	8.37	8.68	8.65	8.53	19.54	15.49	16.52	33.35	9.84	31.69	27.89	28.87	20.80
ENSMUSG00000020279.10	Il9r	chr11:32187540-32200279	2.23	1.02	0.55	1.17	0.00	0.04	1.19	1.34	1.63	0.97	0.40	0.31	0.34	1.22	0.07	0.03	0.00	3.73	2.77	1.42
ENSMUSG00000020280.12	Pus10	chr11:23646478-23732876	11.27	3.29	3.73	4.22	0.20	0.52	1.70	4.52	7.76	6.87	6.13	6.25	6.21	4.13	0.07	0.00	0.00	0.00	0.00	0.19
ENSMUSG00000020282.18	Rhbdf1	chr11:32209584-32222300	1.60	0.24	1.73	1.41	0.00	0.11	0.31	0.00	2.66	1.13	3.07	9.85	7.35	3.82	2.95	0.06	0.09	0.25	0.21	1.04
ENSMUSG00000020283.5	Pex13	chr11:23646478-23732876	55.66	37.73	44.41	35.40	2.89	14.02	14.93	28.80	38.51	40.26	37.86	27.35	31.21	33.05	42.13	34.02	26.44	19.34	21.17	22.98
ENSMUSG00000020284.16	1810043G02Rik	chr10:77978523-77986905	23.93	14.43	20.86	12.89	24.10	23.30	33.63	23.94	15.02	12.29	19.33	17.19	17.98	21.27	23.13	36.44	70.41	31.12	41.25	12.58
ENSMUSG00000020286.12	1700093K21Rik	chr11:23516202-23521155	0.00	0.16	0.90	1.17	0.00	0.00	0.00	1.67	0.41	0.81	0.93	0.31	0.54	0.46	0.00	0.00	0.00	0.00	0.00	2.08
ENSMUSG00000020287.15	Mpg	chr11:32225627-32267707	11.27	24.87	17.68	14.06	11.27	47.83	27.17	10.38	21.86	21.10	24.66	22.35	23.20	17.14	20.11	27.30	65.34	11.87	25.65	30.16
ENSMUSG00000020288.13	Ahsa2	chr11:23306894-23499661	129.54	138.78	133.79	139.71	108.45	47.38	111.95	89.75	139.96	143.40	132.92	118.46	123.78	150.09	89.76	71.25	138.65	75.36	91.67	82.45
ENSMUSG00000020289.15	Nprl3	chr11:32225627-32267707	15.44	15.06	18.65	12.89	44.80	28.78	32.49	7.87	7.56	9.70	13.20	17.50	15.92	21.42	38.52	36.38	50.91	8.13	19.16	21.37
ENSMUSG00000020290.14	Xpo1	chr11:23256040-23298249	73.74	50.21	74.46	60.71	51.93	37.76	32.08	34.49	67.43	57.23	62.66	64.86	64.05	65.33	55.36	15.83	13.97	29.46	25.47	41.89
ENSMUSG00000020295.1	Hbq1a	chr11:32300068-32300873	0.00	0.08	0.55	0.00	0.00	13.61	0.00	2.18	0.10	0.32	0.53	0.16	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.28
ENSMUSG00000020297.10	Nsg2	chr11:32000462-32059202	307.29	325.72	255.42	316.69	577.93	588.65	521.61	295.03	163.25	186.65	224.51	208.95	214.67	252.14	379.35	326.04	474.56	352.56	384.00	402.33
ENSMUSG00000020299.6	4930524B15Rik	chr11:31965591-31979651	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.76	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020300.14	Cpeb4	chr11:31872210-31935634	165.93	121.28	117.83	112.28	65.15	54.09	67.47	51.40	139.65	146.55	114.12	118.46	116.86	107.10	56.48	52.36	2.62	49.05	37.08	43.78
ENSMUSG00000020303.2	Stc2	chr11:31357306-31370074	0.21	0.08	0.48	0.00	0.00	0.00	1.91	0.00	0.20	0.16	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.28
ENSMUSG00000020305.13	Asb3	chr11:30885357-31102704	28.52	41.74	27.63	29.77	4.59	20.32	20.04	15.74	23.50	20.53	25.86	35.48	31.94	31.06	81.70	74.98	58.69	46.97	49.99	20.80
ENSMUSG00000020307.14	Cdc34	chr10:79682194-79688394	29.22	48.56	38.20	31.18	53.93	83.69	56.57	58.44	34.43	32.17	28.80	30.94	30.15	27.23	36.04	48.21	29.44	50.38	44.98	38.29
ENSMUSG00000020308.5	Tpgs1	chr10:79669409-79676126	0.90	4.79	2.76	2.58	0.10	0.04	0.05	2.68	5.11	4.04	4.93	6.41	5.87	5.05	0.00	17.61	24.19	6.22	10.85	7.28
ENSMUSG00000020309.6	Chac2	chr11:30885357-31102704	25.53	18.59	13.26	18.99	16.31	27.21	11.83	17.25	14.10	19.08	14.93	16.25	15.77	15.30	5.57	9.05	1.03	11.45	8.77	22.13
ENSMUSG00000020310.8	Madcam1	chr10:79664573-79668536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020311.17	Erlec1	chr11:30885357-31102704	38.82	27.61	34.05	41.49	23.80	33.81	46.49	47.55	41.37	34.35	53.86	45.01	48.26	44.52	26.67	56.00	17.44	81.09	64.68	46.52
ENSMUSG00000020312.11	Shc2	chr10:79617939-79637918	62.13	70.84	71.42	63.29	82.36	76.27	73.93	112.18	84.28	76.79	91.32	89.39	90.10	84.15	64.40	41.45	149.81	97.10	110.69	69.78
ENSMUSG00000020315.18	Sptbn1	chr11:30099394-30280491	1002.72	796.66	1014.85	1158.23	973.73	1022.22	959.12	1229.17	1100.05	1050.44	1164.81	1074.42	1107.66	1002.43	771.28	780.01	818.89	927.95	899.85	869.33
ENSMUSG00000020317.14	Theg	chr10:79576378-79587331	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020319.9	Wdpcp	chr11:21556786-21898989	1.88	1.02	0.62	0.94	0.05	1.34	1.39	0.17	2.66	2.75	1.33	1.88	1.68	2.14	0.00	0.00	0.00	0.00	0.00	0.76
ENSMUSG00000020321.15	Mdh1	chr11:21556786-21898989	584.11	420.96	531.50	799.81	110.40	168.12	146.92	492.10	447.46	439.25	637.93	684.98	667.68	854.49	175.85	261.88	209.06	469.25	402.19	413.39
ENSMUSG00000020323.14	Prss57	chr10:79777271-79790961	10.64	13.89	17.54	27.66	0.10	7.98	9.14	8.37	19.61	16.98	17.73	12.66	14.52	14.69	0.20	8.99	0.00	30.62	22.73	9.64
ENSMUSG00000020325.10	Fstl3	chr10:79777271-79790961	0.07	0.08	0.55	1.41	0.00	0.07	0.15	0.33	0.51	0.49	0.67	0.63	0.64	0.15	0.00	0.09	0.00	0.83	0.62	0.28
ENSMUSG00000020326.7	Ccng1	chr11:40748551-40755311	77.71	75.00	80.19	61.88	34.37	65.91	37.14	49.06	61.09	67.82	75.99	75.95	75.97	61.96	42.32	19.53	4.78	71.46	54.27	43.59
ENSMUSG00000020327.3	Fgf22	chr10:79755118-79756961	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020328.10	Nudcd2	chr11:40733666-40740046	40.84	31.14	22.10	28.36	24.84	43.50	38.49	24.28	24.93	28.29	38.80	38.13	38.38	26.01	23.06	18.04	12.28	12.70	12.59	12.10
ENSMUSG00000020329.12	Polrmt	chr10:79736122-79746581	2.02	2.20	8.29	4.69	1.45	0.22	1.96	4.69	5.82	5.82	4.67	10.16	8.14	11.17	7.01	17.09	39.84	10.13	17.78	4.25
ENSMUSG00000020330.16	Hmmr	chr11:40701394-40733422	2.99	1.18	2.76	1.88	3.24	0.07	0.00	0.00	3.68	2.18	0.13	3.44	2.22	3.21	0.00	0.00	0.00	0.00	0.00	1.13
ENSMUSG00000020331.9	Hcn2	chr10:79716633-79736108	1.39	2.98	7.60	1.88	0.15	0.41	7.70	4.86	5.11	6.95	8.00	5.78	6.60	5.20	2.42	21.92	10.03	11.04	10.78	4.54
ENSMUSG00000020332.7	Meikin	chr11:54370651-54426790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020333.17	Acsl6	chr11:54303797-54364756	101.43	59.31	90.48	50.16	8.68	34.07	36.11	42.53	106.65	116.81	80.92	56.73	65.63	59.36	37.21	73.27	1.12	18.34	13.90	36.69
ENSMUSG00000020334.6	Slc22a4	chr11:53983122-54028090	1.04	0.47	0.55	0.23	0.00	0.00	2.32	0.00	2.15	1.70	1.33	1.09	1.18	1.84	0.00	0.00	0.00	6.72	4.99	3.21
ENSMUSG00000020335.13	Zfp354b	chr11:50921822-50931633	1.46	0.31	0.14	0.23	0.00	0.11	0.00	2.51	1.12	0.89	0.00	0.31	0.20	0.92	0.00	0.00	21.84	0.00	5.63	0.09
ENSMUSG00000020340.16	Cyfip2	chr11:46193849-46312859	433.01	480.27	558.29	309.66	255.47	236.97	347.67	183.01	597.02	598.17	500.48	509.63	506.27	524.17	504.62	448.19	363.37	502.78	466.85	414.90
ENSMUSG00000020346.16	Mgat1	chr11:49244190-49263030	47.24	48.80	51.18	84.15	95.63	35.60	56.00	79.03	47.30	54.16	47.59	65.17	58.71	70.99	52.35	81.95	21.75	46.81	40.35	51.63
ENSMUSG00000020349.4	Ppp2ca	chr11:51949881-52286179	446.22	399.62	330.71	417.02	299.42	207.30	305.83	332.03	315.78	339.58	295.17	219.89	247.57	236.07	321.89	319.26	234.84	263.26	255.93	220.12
ENSMUSG00000020354.15	Sgcd	chr11:46896252-47988969	6.40	2.82	4.35	3.28	16.01	0.56	1.29	2.18	3.88	5.50	4.67	2.19	3.10	1.22	0.07	0.67	0.09	0.00	0.02	3.03
ENSMUSG00000020357.3	Flt4	chr11:49609262-49652739	2.64	1.02	1.11	4.22	0.05	0.15	0.83	0.00	3.27	2.18	0.80	2.19	1.68	3.98	0.00	0.00	0.00	0.00	0.00	2.08
ENSMUSG00000020358.17	Hnrnpab	chr11:51584756-51606847	259.43	303.52	223.93	152.60	198.65	287.26	248.12	105.65	241.81	250.26	221.44	164.41	185.38	161.41	242.16	361.10	238.59	133.37	160.49	168.68
ENSMUSG00000020359.13	Phykpl	chr11:51584756-51606847	28.25	24.95	52.63	16.41	21.15	2.01	13.90	9.21	102.87	76.47	101.32	170.82	145.26	91.65	4.85	8.65	41.16	38.26	39.01	41.70
ENSMUSG00000020361.13	Hspa4	chr11:53259813-53300457	135.04	269.87	179.44	163.38	246.19	224.78	248.64	312.44	226.08	194.97	202.51	190.51	194.92	177.63	359.50	231.13	306.75	224.66	245.82	234.11
ENSMUSG00000020362.13	Cnot6	chr11:49671502-49712723	58.93	49.19	59.06	55.09	0.50	3.88	42.57	16.91	83.67	79.94	106.66	61.73	78.25	47.89	55.49	62.97	33.09	59.26	52.51	34.51
ENSMUSG00000020363.6	Gfpt2	chr11:49794177-49838613	0.97	0.78	4.35	2.11	0.10	0.34	2.53	0.50	4.60	4.77	6.27	9.38	8.23	8.72	0.00	2.23	0.00	3.98	2.96	3.88
ENSMUSG00000020364.14	Zfp354a	chr11:51059256-51072799	5.98	4.16	5.46	2.11	0.10	0.15	1.39	1.17	3.47	3.31	5.73	3.91	4.58	1.99	0.07	0.00	0.00	2.41	1.79	0.66
ENSMUSG00000020366.18	Mapk9	chr11:49846750-49886421	75.90	99.32	137.80	84.15	7.73	61.36	110.86	99.29	186.03	163.20	147.45	154.56	151.95	154.68	137.85	113.16	171.37	83.33	106.02	125.76
ENSMUSG00000020368.15	Canx	chr11:50293960-50325673	562.55	486.94	724.20	526.25	1046.16	1096.14	1363.37	952.73	603.45	600.27	656.86	586.05	612.09	601.89	1220.09	1432.10	941.52	538.13	642.09	599.66
ENSMUSG00000020372.15	Rack1	chr11:48800331-48817353	352.24	517.06	376.57	450.54	1715.54	1492.40	867.27	1133.06	395.46	362.78	393.96	511.82	468.48	568.54	558.81	682.53	752.61	820.64	803.11	788.77
ENSMUSG00000020374.16	Rasgef1c	chr11:49901834-49980994	3.90	3.06	3.87	2.11	3.84	1.60	1.60	0.67	3.17	3.40	3.20	4.69	4.14	4.13	0.00	7.06	0.00	0.00	0.00	3.50
ENSMUSG00000020375.9	Rufy1	chr11:50389285-50431125	5.22	4.16	8.01	7.50	0.15	6.19	11.47	12.06	12.26	9.46	20.93	7.66	12.54	8.11	3.73	3.36	0.00	13.20	9.80	6.52
ENSMUSG00000020376.16	Rnf130	chr11:50025345-50104758	36.32	14.36	33.29	24.61	0.50	9.28	3.93	5.02	37.08	33.87	37.33	37.04	37.15	51.25	4.91	10.27	0.00	5.39	4.00	8.04
ENSMUSG00000020377.14	Ltc4s	chr11:50236468-50292311	0.63	0.00	0.62	0.23	0.00	0.07	0.00	0.00	0.31	0.24	0.00	1.09	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020380.16	Rad50	chr11:53649518-53707319	21.29	21.26	28.18	34.93	22.15	9.54	28.36	51.24	41.58	37.02	31.60	25.32	27.63	28.61	48.22	20.08	0.00	32.62	24.21	26.95
ENSMUSG00000020381.10	3010026O09Rik	chr11:50174443-50210827	1.81	0.78	0.90	0.94	0.00	0.07	0.05	2.18	0.72	0.81	0.93	0.47	0.64	0.46	0.00	9.54	0.00	0.33	0.25	1.80
ENSMUSG00000020383.1	Il13	chr11:53631323-53634702	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
ENSMUSG00000020385.16	Clk4	chr11:51253650-51281766	69.29	26.99	55.53	60.48	48.09	2.24	20.35	20.76	44.13	41.87	57.86	40.63	46.97	48.96	4.26	0.52	61.03	7.64	21.40	21.84
ENSMUSG00000020386.5	Sar1b	chr11:51763686-51791925	14.54	15.93	21.34	7.27	0.15	15.10	11.88	3.01	19.72	17.70	24.53	33.60	30.27	27.69	0.07	13.36	3.66	25.06	19.55	13.05
ENSMUSG00000020387.15	Jade2	chr11:51813454-51857653	18.16	11.61	22.45	28.60	6.09	5.96	23.51	25.79	20.53	16.89	20.93	24.54	23.21	38.25	4.72	12.17	0.19	31.45	23.40	33.47
ENSMUSG00000020388.12	Pdlim4	chr11:54054927-54069014	29.22	12.87	18.79	26.49	8.78	5.89	6.41	9.88	22.37	20.61	32.40	34.38	33.65	23.26	13.82	0.00	0.19	13.94	10.40	7.28
ENSMUSG00000020389.19	Cdkl3	chr11:51949881-52286179	14.96	2.75	8.98	7.97	8.58	0.22	3.98	23.94	12.16	11.48	12.53	7.66	9.45	7.50	16.05	18.10	1.41	5.56	4.49	10.31
ENSMUSG00000020390.12	Ube2b	chr11:51949881-52286179	371.51	435.87	324.08	385.84	133.74	222.99	299.01	231.23	322.31	337.32	263.31	257.86	259.86	256.58	328.05	416.56	467.15	193.54	264.06	225.79
ENSMUSG00000020392.8	Cdkn2aipnl	chr11:51949881-52286179	27.20	29.58	33.64	13.13	0.30	24.19	26.35	9.21	30.95	30.96	29.73	26.57	27.73	21.73	42.52	65.14	124.50	63.91	79.52	30.82
ENSMUSG00000020393.16	Kremen1	chr11:5191551-5261558	53.43	23.30	27.21	38.21	6.78	1.04	9.97	43.87	21.25	17.14	37.46	37.35	37.39	38.86	6.88	18.49	2.34	13.03	10.28	17.49
ENSMUSG00000020395.13	Itk	chr11:46325149-46389515	0.35	0.08	0.28	0.00	0.05	0.04	1.81	0.00	0.82	1.05	0.13	0.47	0.35	0.61	0.00	0.00	0.00	0.00	0.00	1.99
ENSMUSG00000020396.8	Nefh	chr11:4938753-4948064	342.63	352.16	551.87	523.67	259.36	292.74	387.87	798.35	805.63	617.25	873.77	979.10	940.37	818.69	364.74	351.32	593.99	655.90	639.94	551.15
ENSMUSG00000020397.15	Med7	chr11:46436924-46447248	73.95	48.17	37.23	53.45	35.52	30.75	8.47	54.75	36.37	43.08	40.80	36.10	37.83	47.89	4.91	0.06	0.09	13.03	9.70	28.27
ENSMUSG00000020399.14	Havcr2	chr11:46454934-46481255	0.00	0.47	0.55	1.41	0.00	14.54	0.00	0.00	0.41	0.08	0.67	0.63	0.64	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020400.17	Tnip1	chr11:54910784-54962917	15.10	38.28	27.28	22.27	25.64	8.46	42.62	71.66	27.17	24.57	31.06	43.91	39.19	48.65	58.31	36.93	124.40	55.36	73.15	49.64
ENSMUSG00000020401.6	Fam71b	chr11:46396558-46407982	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020402.11	Vdac1	chr11:52360859-52389397	198.55	382.21	287.47	124.00	270.78	357.53	351.60	192.05	268.17	262.06	277.17	220.98	241.64	222.92	447.69	357.80	413.24	245.41	288.67	251.04
ENSMUSG00000020405.4	Fabp6	chr11:43596048-43601540	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09
ENSMUSG00000020407.13	Upp1	chr11:9118102-9136170	0.21	0.31	2.14	0.94	0.05	15.32	3.62	0.00	1.12	1.54	2.00	3.13	2.71	1.38	0.07	16.29	0.00	4.56	3.39	0.19
ENSMUSG00000020409.10	Slu7	chr11:43433743-43447981	97.47	105.91	120.39	105.48	117.13	136.66	194.04	237.43	100.93	102.66	129.19	80.64	98.49	86.44	146.43	231.68	21.56	97.77	78.13	89.73
ENSMUSG00000020411.2	Nipal4	chr11:46148154-46166508	0.77	0.24	0.28	0.23	0.00	0.04	0.10	0.17	0.31	0.32	0.40	0.31	0.34	0.15	0.00	0.06	0.00	0.00	0.00	0.00
ENSMUSG00000020412.16	Ascc2	chr11:4637746-4685699	36.87	15.14	23.07	31.18	62.36	34.89	18.75	16.07	25.13	23.44	20.00	19.38	19.61	27.85	10.42	18.80	0.19	7.05	5.28	13.52
ENSMUSG00000020413.11	Hus1	chr11:8993136-9011191	4.04	8.79	10.57	6.80	0.15	0.41	16.01	5.86	12.16	13.10	10.93	9.85	10.25	13.92	11.73	14.58	13.78	2.41	5.34	6.81
ENSMUSG00000020415.16	Pttg1	chr11:43420249-43426251	79.17	117.67	94.07	152.37	364.67	312.50	244.04	342.75	65.79	78.25	92.39	99.86	97.12	118.42	190.86	190.69	227.43	286.66	271.40	224.19
ENSMUSG00000020419.11	Hormad2	chr11:4345813-4441105	1.88	0.55	0.14	0.70	0.05	0.04	0.00	0.00	0.72	0.32	0.00	0.63	0.40	2.14	2.10	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020420.8	Zfp607	chr7:27857526-27880825	2.85	0.94	5.25	1.88	0.20	0.30	0.05	0.17	12.57	6.14	14.80	32.66	26.09	17.14	2.69	2.60	0.00	12.45	9.24	7.00
ENSMUSG00000020422.13	Tns3	chr11:8431651-8664535	47.10	34.91	49.11	32.35	65.40	33.55	26.55	25.62	34.84	35.24	63.73	39.38	48.33	39.17	16.05	0.00	2.81	12.28	9.84	19.38
ENSMUSG00000020423.6	Btg2	chr1:134075169-134079120	8.84	4.79	6.42	11.95	0.15	6.97	5.53	10.72	12.57	8.41	7.60	17.66	13.96	13.46	0.07	0.00	0.09	0.33	0.27	4.54
ENSMUSG00000020424.3	Gatsl3	chr11:4218224-4222409	0.00	0.39	0.90	2.58	0.00	0.19	0.00	0.17	2.66	2.34	4.27	0.94	2.16	0.61	0.00	0.00	0.00	0.00	0.00	0.76
ENSMUSG00000020427.11	Igfbp3	chr11:7206085-7213923	38.75	12.00	24.31	24.38	5.64	15.84	31.20	18.25	21.56	26.59	18.93	13.75	15.66	17.59	6.49	22.71	1.59	22.24	16.92	10.21
ENSMUSG00000020428.13	Gabra6	chr11:42306436-42321072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.09	0.69	0.00	0.00	0.00	0.00	2.49	1.85	0.00
ENSMUSG00000020429.7	Igfbp1	chr11:7197781-7202546	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020430.12	Pes1	chr11:3937540-3980004	20.24	23.61	26.94	16.41	73.23	52.64	32.86	20.59	18.49	19.00	20.93	18.60	19.46	18.97	15.99	28.92	2.34	22.41	17.24	25.53
ENSMUSG00000020431.5	Adcy1	chr11:7063488-7178506	50.44	31.85	44.69	35.16	14.77	28.67	28.46	19.93	63.24	51.81	75.46	50.32	59.56	43.60	26.27	0.15	0.66	14.61	11.01	29.31
ENSMUSG00000020432.12	Tcn2	chr11:3917191-3932159	40.70	12.63	39.09	94.47	2.74	10.40	16.17	23.44	40.25	39.61	50.13	55.32	53.41	71.60	14.87	7.58	0.09	22.49	16.72	47.37
ENSMUSG00000020434.4	4921536K21Rik	chr11:3886087-3895098	0.49	0.31	1.24	0.00	0.20	0.00	0.00	3.68	0.20	0.57	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSMUSG00000020435.17	Osbp2	chr11:3703730-3863903	2.23	1.96	7.32	3.52	0.00	0.56	1.96	2.18	7.15	7.36	2.93	4.06	3.65	8.26	2.69	0.00	0.00	15.19	11.27	0.47
