Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Nanog	Nanog homeobox [Source:MGI Symbol;Acc:MGI:1919200]	71950	ENSMUSG00000012396.12
protein_coding	Tmem167	transmembrane protein 167 [Source:MGI Symbol;Acc:MGI:1913324]	66074	ENSMUSG00000012422.14
protein_coding	Steap4	STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]	117167	ENSMUSG00000012428.9
protein_coding	Rpa3	replication protein A3 [Source:MGI Symbol;Acc:MGI:1915490]	68240	ENSMUSG00000012483.4
protein_coding	Tnpo3	transportin 3 [Source:MGI Symbol;Acc:MGI:1196412]	320938	ENSMUSG00000012535.14
protein_coding	Zfp715	zinc finger protein 715 [Source:MGI Symbol;Acc:MGI:1917180]	69930	ENSMUSG00000012640.16
protein_coding	Acp4	acid phosphatase 4 [Source:MGI Symbol;Acc:MGI:3644563]	100503991	ENSMUSG00000012777.14
protein_coding	Rps5	ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]	20103	ENSMUSG00000012848.15
protein_coding	Adgrl1	adhesion G protein-coupled receptor L1 [Source:MGI Symbol;Acc:MGI:1929461]	330814	ENSMUSG00000013033.16
protein_coding	Etv5	ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867]	104156	ENSMUSG00000013089.15
protein_coding	Gfod2	glucose-fructose oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:1917825]	70575	ENSMUSG00000013150.15
protein_coding	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1 [Source:MGI Symbol;Acc:MGI:1201778]	11972	ENSMUSG00000013160.7
protein_coding	Slc41a1	solute carrier family 41, member 1 [Source:MGI Symbol;Acc:MGI:2444823]	98396	ENSMUSG00000013275.9
protein_coding	Iglon5	IgLON family member 5 [Source:MGI Symbol;Acc:MGI:2686277]	210094	ENSMUSG00000013367.5
protein_coding	Tmem175	transmembrane protein 175 [Source:MGI Symbol;Acc:MGI:1919642]	72392	ENSMUSG00000013495.15
protein_coding	Bcas1	breast carcinoma amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1924210]	76960	ENSMUSG00000013523.13
protein_coding	Ndufs2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:MGI Symbol;Acc:MGI:2385112]	226646	ENSMUSG00000013593.12
protein_coding	Atraid	all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]	381629	ENSMUSG00000013622.15
protein_coding	Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:MGI Symbol;Acc:MGI:1916969]	69719	ENSMUSG00000013629.16
protein_coding	Sh3bp5l	SH3 binding domain protein 5 like [Source:MGI Symbol;Acc:MGI:1933124]	79566	ENSMUSG00000013646.17
protein_coding	Pten	phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583]	19211	ENSMUSG00000013663.7
protein_coding	Pea15a	phosphoprotein enriched in astrocytes 15A [Source:MGI Symbol;Acc:MGI:104799]	18611	ENSMUSG00000013698.12
protein_coding	Trnt1	tRNA nucleotidyl transferase, CCA-adding, 1 [Source:MGI Symbol;Acc:MGI:1917297]	70047	ENSMUSG00000013736.16
protein_coding	Ehmt2	euchromatic histone lysine N-methyltransferase 2 [Source:MGI Symbol;Acc:MGI:2148922]	110147	ENSMUSG00000013787.15
protein_coding	Med16	mediator complex subunit 16 [Source:MGI Symbol;Acc:MGI:2158394]	216154	ENSMUSG00000013833.15
protein_coding	Tmem259	transmembrane protein 259 [Source:MGI Symbol;Acc:MGI:2177957]	216157	ENSMUSG00000013858.14
protein_coding	Rnf170	ring finger protein 170 [Source:MGI Symbol;Acc:MGI:1924983]	77733	ENSMUSG00000013878.18
protein_coding	Clip3	CAP-GLY domain containing linker protein 3 [Source:MGI Symbol;Acc:MGI:1923936]	76686	ENSMUSG00000013921.15
protein_coding	Dedd	death effector domain-containing [Source:MGI Symbol;Acc:MGI:1333874]	21945	ENSMUSG00000013973.12
protein_coding	Nit1	nitrilase 1 [Source:MGI Symbol;Acc:MGI:1350916]	27045	ENSMUSG00000013997.10
protein_coding	Rnf168	ring finger protein 168 [Source:MGI Symbol;Acc:MGI:1917488]	70238	ENSMUSG00000014074.17
protein_coding	Tctex1d2	Tctex1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1913311]	66061	ENSMUSG00000014075.15
protein_coding	Chp1	calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185]	56398	ENSMUSG00000014077.13
protein_coding	Tvp23b	trans-golgi network vesicle protein 23B [Source:MGI Symbol;Acc:MGI:1914760]	67510	ENSMUSG00000014177.10
protein_coding	Zfp385c	zinc finger protein 385C [Source:MGI Symbol;Acc:MGI:3608347]	278304	ENSMUSG00000014198.15
protein_coding	Cacybp	calcyclin binding protein [Source:MGI Symbol;Acc:MGI:1270839]	12301	ENSMUSG00000014226.10
protein_coding	Cluap1	clusterin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924029]	76779	ENSMUSG00000014232.14
protein_coding	Zswim7	zinc finger SWIM-type containing 7 [Source:MGI Symbol;Acc:MGI:1916997]	69747	ENSMUSG00000014243.5
protein_coding	Pigl	phosphatidylinositol glycan anchor biosynthesis, class L [Source:MGI Symbol;Acc:MGI:2681271]	327942	ENSMUSG00000014245.8
protein_coding	Ndufa2	NADH:ubiquinone oxidoreductase subunit A2 [Source:MGI Symbol;Acc:MGI:1343103]	17991	ENSMUSG00000014294.4
protein_coding	Glis2	GLIS family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1932535]	83396	ENSMUSG00000014303.13
protein_coding	Bicc1	BicC family RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1933388]	83675	ENSMUSG00000014329.14
protein_coding	Ube2z	ubiquitin-conjugating enzyme E2Z [Source:MGI Symbol;Acc:MGI:1343160]	268470	ENSMUSG00000014349.7
protein_coding	Anapc1	anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]	17222	ENSMUSG00000014355.10
protein_coding	Mertk	MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965]	17289	ENSMUSG00000014361.5
protein_coding	Tsg101	tumor susceptibility gene 101 [Source:MGI Symbol;Acc:MGI:106581]	22088	ENSMUSG00000014402.15
protein_coding	Hps5	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2 [Source:MGI Symbol;Acc:MGI:2180307]	246694	ENSMUSG00000014418.16
protein_coding	Rnf166	ring finger protein 166 [Source:MGI Symbol;Acc:MGI:1915968]	68718	ENSMUSG00000014470.4
protein_coding	Ankrd52	ankyrin repeat domain 52 [Source:MGI Symbol;Acc:MGI:2444029]	237615	ENSMUSG00000014498.9
protein_coding	Srp19	signal recognition particle 19 [Source:MGI Symbol;Acc:MGI:1913634]	66384	ENSMUSG00000014504.16
protein_coding	Rbsn	rabenosyn, RAB effector [Source:MGI Symbol;Acc:MGI:1925537]	78287	ENSMUSG00000014550.14
protein_coding	Mrps25	mitochondrial ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1928140]	64658	ENSMUSG00000014551.8
protein_coding	Dguok	deoxyguanosine kinase [Source:MGI Symbol;Acc:MGI:1351602]	27369	ENSMUSG00000014554.13
protein_coding	Csf1	colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]	12977	ENSMUSG00000014599.10
protein_coding	Strip1	striatin interacting protein 1 [Source:MGI Symbol;Acc:MGI:2443884]	229707	ENSMUSG00000014601.13
protein_coding	Kif1a	kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]	16560	ENSMUSG00000014602.15
protein_coding	Slc25a11	solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11 [Source:MGI Symbol;Acc:MGI:1915113]	67863	ENSMUSG00000014606.14
protein_coding	Cmc2	COX assembly mitochondrial protein 2 [Source:MGI Symbol;Acc:MGI:1913781]	66531	ENSMUSG00000014633.15
protein_coding	Chfr	checkpoint with forkhead and ring finger domains [Source:MGI Symbol;Acc:MGI:2444898]	231600	ENSMUSG00000014668.15
protein_coding	Tex261	testis expressed gene 261 [Source:MGI Symbol;Acc:MGI:1096575]	21766	ENSMUSG00000014748.13
protein_coding	Fhod1	formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]	234686	ENSMUSG00000014778.10
protein_coding	Tppp3	tubulin polymerization-promoting protein family member 3 [Source:MGI Symbol;Acc:MGI:1915221]	67971	ENSMUSG00000014846.12
protein_coding	Msh3	mutS homolog 3 [Source:MGI Symbol;Acc:MGI:109519]	17686	ENSMUSG00000014850.15
protein_coding	Tmem208	transmembrane protein 208 [Source:MGI Symbol;Acc:MGI:1913570]	66320	ENSMUSG00000014856.12
protein_coding	Surf4	surfeit gene 4 [Source:MGI Symbol;Acc:MGI:98445]	20932	ENSMUSG00000014867.9
protein_coding	Surf2	surfeit gene 2 [Source:MGI Symbol;Acc:MGI:98444]	20931	ENSMUSG00000014873.15
protein_coding	Yes1	YES proto-oncogene 1, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:99147]	22612	ENSMUSG00000014932.15
protein_coding	Ppp1cb	protein phosphatase 1 catalytic subunit beta [Source:MGI Symbol;Acc:MGI:104871]	19046	ENSMUSG00000014956.15
protein_coding	Gorasp2	golgi reassembly stacking protein 2 [Source:MGI Symbol;Acc:MGI:2135962]	70231	ENSMUSG00000014959.12
protein_coding	Tsen15	tRNA splicing endonuclease subunit 15 [Source:MGI Symbol;Acc:MGI:1913887]	66637	ENSMUSG00000014980.14
protein_coding	Ddx19a	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a [Source:MGI Symbol;Acc:MGI:99526]	13680	ENSMUSG00000015023.7
protein_coding	Gata2	GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]	14461	ENSMUSG00000015053.14
protein_coding	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:MGI Symbol;Acc:MGI:1096863]	12496	ENSMUSG00000015085.8
protein_coding	Rabl6	RAB, member RAS oncogene family-like 6 [Source:MGI Symbol;Acc:MGI:2442633]	227624	ENSMUSG00000015087.14
protein_coding	Ptgds	prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]	19215	ENSMUSG00000015090.13
protein_coding	Edf1	endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]	59022	ENSMUSG00000015092.9
protein_coding	Npdc1	neural proliferation, differentiation and control 1 [Source:MGI Symbol;Acc:MGI:1099802]	18146	ENSMUSG00000015094.16
protein_coding	Fbxw5	F-box and WD-40 domain protein 5 [Source:MGI Symbol;Acc:MGI:1354731]	30839	ENSMUSG00000015095.12
protein_coding	Slc25a13	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 [Source:MGI Symbol;Acc:MGI:1354721]	50799	ENSMUSG00000015112.15
protein_coding	Ube2i	ubiquitin-conjugating enzyme E2I [Source:MGI Symbol;Acc:MGI:107365]	22196	ENSMUSG00000015120.15
protein_coding	Tsr3	TSR3 20S rRNA accumulation [Source:MGI Symbol;Acc:MGI:1915577]	68327	ENSMUSG00000015126.9
protein_coding	Unkl	unkempt family like zinc finger [Source:MGI Symbol;Acc:MGI:1921404]	74154	ENSMUSG00000015127.14
protein_coding	Lrrk1	leucine-rich repeat kinase 1 [Source:MGI Symbol;Acc:MGI:2142227]	233328	ENSMUSG00000015133.17
protein_coding	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]	56847	ENSMUSG00000015134.15
protein_coding	Sirt2	sirtuin 2 [Source:MGI Symbol;Acc:MGI:1927664]	64383	ENSMUSG00000015149.14
protein_coding	Hnrnpl	heterogeneous nuclear ribonucleoprotein L [Source:MGI Symbol;Acc:MGI:104816]	15388	ENSMUSG00000015165.16
protein_coding	Casd1	CAS1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2384865]	213819	ENSMUSG00000015189.12
protein_coding	Mtmr1	myotubularin related protein 1 [Source:MGI Symbol;Acc:MGI:1858271]	53332	ENSMUSG00000015214.14
protein_coding	Hmgb3	high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]	15354	ENSMUSG00000015217.11
protein_coding	Cyp2j9	cytochrome P450, family 2, subfamily j, polypeptide 9 [Source:MGI Symbol;Acc:MGI:1921769]	74519	ENSMUSG00000015224.10
protein_coding	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]	11303	ENSMUSG00000015243.4
protein_coding	Nipsnap3b	nipsnap homolog 3B [Source:MGI Symbol;Acc:MGI:1913786]	66536	ENSMUSG00000015247.10
protein_coding	Lage3	L antigen family, member 3 [Source:MGI Symbol;Acc:MGI:1913442]	66192	ENSMUSG00000015289.4
protein_coding	Ubl4a	ubiquitin-like 4A [Source:MGI Symbol;Acc:MGI:95049]	27643	ENSMUSG00000015290.15
protein_coding	Ubl4a	ubiquitin-like 4A [Source:MGI Symbol;Acc:MGI:95049]	100169864	ENSMUSG00000015290.15
protein_coding	Gdi1	guanosine diphosphate (GDP) dissociation inhibitor 1 [Source:MGI Symbol;Acc:MGI:99846]	14567	ENSMUSG00000015291.10
protein_coding	Zdhhc12	zinc finger, DHHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1913470]	66220	ENSMUSG00000015335.16
protein_coding	Cybb	cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]	13058	ENSMUSG00000015340.10
protein_coding	Golga7	golgi autoantigen, golgin subfamily a, 7 [Source:MGI Symbol;Acc:MGI:1931029]	57437	ENSMUSG00000015341.17
protein_coding	Xk	X-linked Kx blood group [Source:MGI Symbol;Acc:MGI:103569]	22439	ENSMUSG00000015342.6
protein_coding	Pcolce2	procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727]	76477	ENSMUSG00000015354.8
protein_coding	Clpx	caseinolytic mitochondrial matrix peptidase chaperone subunit [Source:MGI Symbol;Acc:MGI:1346017]	270166	ENSMUSG00000015357.10
protein_coding	Trabd	TraB domain containing [Source:MGI Symbol;Acc:MGI:1915226]	67976	ENSMUSG00000015363.13
protein_coding	Atf6b	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	12915	ENSMUSG00000015461.15
protein_coding	Egfl8	EGF-like domain 8 [Source:MGI Symbol;Acc:MGI:1932094]	81701	ENSMUSG00000015467.14
protein_coding	Ppt2	palmitoyl-protein thioesterase 2 [Source:MGI Symbol;Acc:MGI:1860075]	54397	ENSMUSG00000015474.16
protein_coding	Prrt1	proline-rich transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1932118]	260297	ENSMUSG00000015476.6
protein_coding	Cacfd1	calcium channel flower domain containing 1 [Source:MGI Symbol;Acc:MGI:1924317]	381356	ENSMUSG00000015488.14
protein_coding	Hivep2	human immunodeficiency virus type I enhancer binding protein 2 [Source:MGI Symbol;Acc:MGI:1338076]	15273	ENSMUSG00000015501.10
protein_coding	Arnt	aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]	11863	ENSMUSG00000015522.18
protein_coding	Mocs2	molybdenum cofactor synthesis 2 [Source:MGI Symbol;Acc:MGI:1336894]	17434	ENSMUSG00000015536.14
protein_coding	Nat9	N-acetyltransferase 9 (GCN5-related, putative) [Source:MGI Symbol;Acc:MGI:1913426]	66176	ENSMUSG00000015542.17
protein_coding	Steap1	six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608]	70358	ENSMUSG00000015652.9
protein_coding	Steap2	six transmembrane epithelial antigen of prostate 2 [Source:MGI Symbol;Acc:MGI:1921301]	74051	ENSMUSG00000015653.13
protein_coding	Pdzd11	PDZ domain containing 11 [Source:MGI Symbol;Acc:MGI:1919871]	72621	ENSMUSG00000015668.13
protein_coding	Setdb1	SET domain, bifurcated 1 [Source:MGI Symbol;Acc:MGI:1934229]	84505	ENSMUSG00000015697.14
protein_coding	Anxa9	annexin A9 [Source:MGI Symbol;Acc:MGI:1923711]	71790	ENSMUSG00000015702.13
protein_coding	Arnt2	aryl hydrocarbon receptor nuclear translocator 2 [Source:MGI Symbol;Acc:MGI:107188]	11864	ENSMUSG00000015709.9
protein_coding	Prune1	prune exopolyphosphatase [Source:MGI Symbol;Acc:MGI:1925152]	229589	ENSMUSG00000015711.8
protein_coding	Cers2	ceramide synthase 2 [Source:MGI Symbol;Acc:MGI:1924143]	76893	ENSMUSG00000015714.11
protein_coding	Capza2	capping protein (actin filament) muscle Z-line, alpha 2 [Source:MGI Symbol;Acc:MGI:106222]	12343	ENSMUSG00000015733.13
protein_coding	Plekho1	pleckstrin homology domain containing, family O member 1 [Source:MGI Symbol;Acc:MGI:1914470]	67220	ENSMUSG00000015745.9
protein_coding	Vps45	vacuolar protein sorting 45 [Source:MGI Symbol;Acc:MGI:891965]	22365	ENSMUSG00000015747.5
protein_coding	Prpf3	pre-mRNA processing factor 3 [Source:MGI Symbol;Acc:MGI:1918017]	70767	ENSMUSG00000015748.13
protein_coding	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E [Source:MGI Symbol;Acc:MGI:1913721]	66471	ENSMUSG00000015749.12
protein_coding	Aph1a	aph1 homolog A, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:2385110]	226548	ENSMUSG00000015750.15
protein_coding	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:MGI Symbol;Acc:MGI:1915902]	68652	ENSMUSG00000015755.16
protein_coding	Ppil4	peptidylprolyl isomerase (cyclophilin)-like 4 [Source:MGI Symbol;Acc:MGI:1914668]	67418	ENSMUSG00000015757.10
protein_coding	Eps8	epidermal growth factor receptor pathway substrate 8 [Source:MGI Symbol;Acc:MGI:104684]	13860	ENSMUSG00000015766.14
protein_coding	Med22	mediator complex subunit 22 [Source:MGI Symbol;Acc:MGI:98446]	20933	ENSMUSG00000015776.12
protein_coding	Surf1	surfeit gene 1 [Source:MGI Symbol;Acc:MGI:98443]	20930	ENSMUSG00000015790.16
protein_coding	Med28	mediator complex subunit 28 [Source:MGI Symbol;Acc:MGI:1914249]	66999	ENSMUSG00000015804.14
protein_coding	Qdpr	quinoid dihydropteridine reductase [Source:MGI Symbol;Acc:MGI:97836]	110391	ENSMUSG00000015806.12
protein_coding	Tnr	tenascin R [Source:MGI Symbol;Acc:MGI:99516]	21960	ENSMUSG00000015829.13
protein_coding	Sqstm1	sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]	18412	ENSMUSG00000015837.15
protein_coding	Nfe2l2	nuclear factor, erythroid derived 2, like 2 [Source:MGI Symbol;Acc:MGI:108420]	18024	ENSMUSG00000015839.6
protein_coding	Rxrg	retinoid X receptor gamma [Source:MGI Symbol;Acc:MGI:98216]	20183	ENSMUSG00000015843.10
protein_coding	Adamtsl4	ADAMTS-like 4 [Source:MGI Symbol;Acc:MGI:2389008]	229595	ENSMUSG00000015850.11
protein_coding	Prpsap1	phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:MGI Symbol;Acc:MGI:1915013]	67763	ENSMUSG00000015869.16
protein_coding	Dstn	destrin [Source:MGI Symbol;Acc:MGI:1929270]	56431	ENSMUSG00000015932.8
protein_coding	Gtf2ird2	GTF2I repeat domain containing 2 [Source:MGI Symbol;Acc:MGI:2149780]	114674	ENSMUSG00000015942.9
protein_coding	Bola1	bolA-like 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1916418]	69168	ENSMUSG00000015943.11
protein_coding	Castor2	cytosolic arginine sensor for mTORC1 subunit 2 [Source:MGI Symbol;Acc:MGI:1933384]	80909	ENSMUSG00000015944.9
protein_coding	Adss	adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]	11566	ENSMUSG00000015961.8
protein_coding	Stk32c	serine/threonine kinase 32C [Source:MGI Symbol;Acc:MGI:2385336]	57740	ENSMUSG00000015981.12
protein_coding	Fnta	farnesyltransferase, CAAX box, alpha [Source:MGI Symbol;Acc:MGI:104683]	14272	ENSMUSG00000015994.10
protein_coding	Lbp	lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]	16803	ENSMUSG00000016024.9
protein_coding	Fli1	Friend leukemia integration 1 [Source:MGI Symbol;Acc:MGI:95554]	14247	ENSMUSG00000016087.13
protein_coding	Stard13	StAR-related lipid transfer (START) domain containing 13 [Source:MGI Symbol;Acc:MGI:2385331]	243362	ENSMUSG00000016128.14
protein_coding	Tenm1	teneurin transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1345185]	23963	ENSMUSG00000016150.15
protein_coding	Camk1g	calcium/calmodulin-dependent protein kinase I gamma [Source:MGI Symbol;Acc:MGI:2388073]	215303	ENSMUSG00000016179.11
protein_coding	Utp25	UTP25 small subunit processome component [Source:MGI Symbol;Acc:MGI:2138080]	215193	ENSMUSG00000016181.9
protein_coding	H2-M3	histocompatibility 2, M region locus 3 [Source:MGI Symbol;Acc:MGI:95915]	14991	ENSMUSG00000016206.6
protein_coding	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:MGI Symbol;Acc:MGI:1855697]	67126	ENSMUSG00000016252.7
protein_coding	Nelfcd	negative elongation factor complex member C/D, Th1l [Source:MGI Symbol;Acc:MGI:1926424]	57314	ENSMUSG00000016253.12
protein_coding	Ctsz	cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]	64138	ENSMUSG00000016256.10
protein_coding	Prelid3b	PRELI domain containing 3B [Source:MGI Symbol;Acc:MGI:1913640]	66390	ENSMUSG00000016257.15
protein_coding	Sertad4	SERTA domain containing 4 [Source:MGI Symbol;Acc:MGI:2443496]	214791	ENSMUSG00000016262.14
protein_coding	Ube2a	ubiquitin-conjugating enzyme E2A [Source:MGI Symbol;Acc:MGI:102959]	22209	ENSMUSG00000016308.12
protein_coding	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]	11740	ENSMUSG00000016319.3
protein_coding	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor [Source:MGI Symbol;Acc:MGI:1913746]	66496	ENSMUSG00000016344.14
protein_coding	Kcnq2	potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]	16536	ENSMUSG00000016346.17
protein_coding	Eef1a2	eukaryotic translation elongation factor 1 alpha 2 [Source:MGI Symbol;Acc:MGI:1096317]	13628	ENSMUSG00000016349.10
protein_coding	Pls3	plastin 3 (T-isoform) [Source:MGI Symbol;Acc:MGI:104807]	102866	ENSMUSG00000016382.15
protein_coding	Mpped2	metallophosphoesterase domain containing 2 [Source:MGI Symbol;Acc:MGI:1924265]	77015	ENSMUSG00000016386.15
protein_coding	Nkap	NFKB activating protein [Source:MGI Symbol;Acc:MGI:1914300]	67050	ENSMUSG00000016409.4
protein_coding	Ndufa1	NADH:ubiquinone oxidoreductase subunit A1 [Source:MGI Symbol;Acc:MGI:1929511]	54405	ENSMUSG00000016427.7
protein_coding	Cr1l	complement component (3b/4b) receptor 1-like [Source:MGI Symbol;Acc:MGI:88513]	12946	ENSMUSG00000016481.15
protein_coding	Ppfibp1	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:MGI Symbol;Acc:MGI:1914783]	67533	ENSMUSG00000016487.15
protein_coding	Cd46	CD46 antigen, complement regulatory protein [Source:MGI Symbol;Acc:MGI:1203290]	17221	ENSMUSG00000016493.13
protein_coding	Cd34	CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]	12490	ENSMUSG00000016494.9
protein_coding	Plgrkt	plasminogen receptor, C-terminal lysine transmembrane protein [Source:MGI Symbol;Acc:MGI:1915009]	67759	ENSMUSG00000016495.12
protein_coding	Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	60533	ENSMUSG00000016496.7
protein_coding	Mtif3	mitochondrial translational initiation factor 3 [Source:MGI Symbol;Acc:MGI:1923616]	76366	ENSMUSG00000016510.11
protein_coding	Lnx2	ligand of numb-protein X 2 [Source:MGI Symbol;Acc:MGI:2155959]	140887	ENSMUSG00000016520.7
protein_coding	Mapkapk2	MAP kinase-activated protein kinase 2 [Source:MGI Symbol;Acc:MGI:109298]	17164	ENSMUSG00000016528.10
protein_coding	Lamp2	lysosomal-associated membrane protein 2 [Source:MGI Symbol;Acc:MGI:96748]	16784	ENSMUSG00000016534.15
protein_coding	Foxred2	FAD-dependent oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:106315]	239554	ENSMUSG00000016552.13
protein_coding	H3f3b	H3.3 histone B [Source:MGI Symbol;Acc:MGI:1101768]	15081	ENSMUSG00000016559.14
protein_coding	Mrps18c	mitochondrial ribosomal protein S18C [Source:MGI Symbol;Acc:MGI:1915985]	68735	ENSMUSG00000016833.14
protein_coding	Sulf1	sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]	240725	ENSMUSG00000016918.15
protein_coding	Srsf6	serine and arginine-rich splicing factor 6 [Source:MGI Symbol;Acc:MGI:1915246]	67996	ENSMUSG00000016921.14
protein_coding	Plcg1	phospholipase C, gamma 1 [Source:MGI Symbol;Acc:MGI:97615]	18803	ENSMUSG00000016933.17
protein_coding	Kctd2	potassium channel tetramerisation domain containing 2 [Source:MGI Symbol;Acc:MGI:1917632]	70382	ENSMUSG00000016940.18
protein_coding	Etaa1	Ewing tumor-associated antigen 1 [Source:MGI Symbol;Acc:MGI:1915395]	68145	ENSMUSG00000016984.7
protein_coding	Matn4	matrilin 4 [Source:MGI Symbol;Acc:MGI:1328314]	17183	ENSMUSG00000016995.17
protein_coding	Sdc4	syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]	20971	ENSMUSG00000017009.3
protein_coding	Il13ra1	interleukin 13 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:105052]	16164	ENSMUSG00000017057.9
protein_coding	Nbr1	NBR1, autophagy cargo receptor [Source:MGI Symbol;Acc:MGI:108498]	17966	ENSMUSG00000017119.19
protein_coding	Cyth1	cytohesin 1 [Source:MGI Symbol;Acc:MGI:1334257]	19157	ENSMUSG00000017132.17
protein_coding	Rnd3	Rho family GTPase 3 [Source:MGI Symbol;Acc:MGI:1921444]	74194	ENSMUSG00000017144.8
protein_coding	Cntnap1	contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201]	53321	ENSMUSG00000017167.6
protein_coding	Nt5c3b	5'-nucleotidase, cytosolic IIIB [Source:MGI Symbol;Acc:MGI:1915356]	68106	ENSMUSG00000017176.17
protein_coding	Coa3	cytochrome C oxidase assembly factor 3 [Source:MGI Symbol;Acc:MGI:1098757]	52469	ENSMUSG00000017188.3
protein_coding	Med24	mediator complex subunit 24 [Source:MGI Symbol;Acc:MGI:1344385]	23989	ENSMUSG00000017210.14
protein_coding	Psmd3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3 [Source:MGI Symbol;Acc:MGI:98858]	22123	ENSMUSG00000017221.14
protein_coding	Exosc10	exosome component 10 [Source:MGI Symbol;Acc:MGI:1355322]	50912	ENSMUSG00000017264.16
protein_coding	Glod4	glyoxalase domain containing 4 [Source:MGI Symbol;Acc:MGI:1914451]	67201	ENSMUSG00000017286.15
protein_coding	Vps53	VPS53 GARP complex subunit [Source:MGI Symbol;Acc:MGI:1915549]	68299	ENSMUSG00000017288.15
protein_coding	Taok1	TAO kinase 1 [Source:MGI Symbol;Acc:MGI:1914490]	216965	ENSMUSG00000017291.13
protein_coding	Dnttip1	deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:MGI Symbol;Acc:MGI:1923483]	76233	ENSMUSG00000017299.13
